smiles_a,gene,smiles_b,pic50_a,pic50_b,relation_a,relation_b
Cc1ccc(C)c(NC(=O)c2cc(-c3ccco3)nc3ccccc23)c1,LTK,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Cl,6.0,8.1,=,=
Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,MARK1,CC1(C)C(=O)N([C@H]2CCc3c(O)cccc32)c2nc(Nc3cccc(CN4CCCC4)c3)ncc21,5.31,8.7,=,=
COCCOc1cc(-c2cncc(C#N)c2Nc2cccc3[nH]ccc23)ccc1OC,PRKCQ,Cc1ncc(C#N)c(Nc2ccc3[nH]ccc3c2C)c1/C=C/c1cccc(S(=O)(=O)N2CCN(C)CC2)c1,7.2,9.36,=,=
O=[N+]([O-])c1ccc2[nH]c(-c3ccncc3)nc2c1,PKN2,CCN1CCN(c2ccc(Nc3nccc(-c4c(-c5cccc(C(=O)Nc6ccccc6F)c5)nc5ccccn45)n3)cc2)CC1,4.74,5.4,=,=
NC(=O)c1cc(-c2ccncc2)[nH]c1-c1ccncc1,CDC7,O=c1cc(-c2cccc(F)c2)[nH]c2c(-c3ccc(F)cc3)cnn12,6.7,7.2,=,=
CC(=O)Nc1cccc(Nc2ccc3ncc(-c4cccc(NC(C)=O)c4)n3n2)c1,DYRK2,Oc1ccc(-c2cnc3[nH]cc(-c4ccc(F)cc4)c3c2)cc1O,7.4,5.47,=,=
Cc1ccc2c(-c3cnn4cc(-c5ccc(OC6CCNCC6)cn5)cnc34)cccc2n1,ACVR1B,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,4.32,5.52,=,=
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ccccn2)n1,MAP3K6,CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cnc3ccccc3n2)n1,5.96,5.31,=,=
CC#CCn1cc(N(c2nc(C(N)=O)c(-c3cc(C(=O)N4CCOCC4)c[nH]3)s2)C2CC2)cn1,AURKC,Oc1cccc(Nc2ccnc3[nH]c4ccccc4c23)c1,7.54,6.59,=,=
CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,ULK2,O=C(N[C@@H](C1CC1)C(F)(F)F)c1cc(C2C=C3N=C(c4ccc(F)cc4)C=CN3N2)cs1,5.0,7.52,=,=
CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,EPHB6,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,6.44,7.55,=,=
C[C@@H]1COCCN1c1nc(-c2cncc3[nH]ccc23)cc2c1ncn2C,ATR,C[C@@H]1COCCN1c1cc(-c2cccnc2F)c2ccnc(-c3ccn[nH]3)c2n1,9.4,8.09,=,=
CN(c1ccccc1)c1cc[n+](Cc2ccc(-c3ccccc3)cc2)c2cc(Cl)ccc12.[Br-],CHKB,CN1CCc2nc(NC(=O)[C@H]3CC[C@@H](n4cnc5c(N)nc(Cl)nc54)CC3)sc2C1,4.7,5.18,=,=
C[C@@H]1CN(c2c(C#N)c(=O)n(C)c3ccc(C#N)nc23)CCN1C(c1ccccc1)c1ccc(Cl)cc1,DGKA,C[C@H]1CN(c2c(Cl)c(=O)n(C)c3ccc(C#N)nc23)CCN1C(c1ccc(F)cc1)c1ccc(F)cc1,5.89,5.48,=,=
CCN1CCN(c2ccc(Nc3ncc(Cl)c(Nc4ccc5[nH]ncc5c4)n3)cc2)CC1,CAMK1D,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,5.9,9.24,=,=
COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,CDK17,Cn1cc(C2=C(c3cccc(NCC(O)CO)c3)C(=O)NC2=O)c2cc(F)ccc21,6.09,7.16,=,=
Cn1ccnc1C(O)c1ccc(F)c(-c2nc(Cl)nc3cc(N4CCOCC4)ccc23)c1,PRKDC,CCC(=O)N1CC[C@H](Nc2ncnc3c2CN(c2cnc(OC)c(C(F)(F)F)c2)CC3)C1,8.3,6.06,=,=
CC(=O)N[C@@H]1C[C@H](n2c3ccc(O)cc3c3c4c(c5c6ccccc6[nH]c5c32)CNC4=O)O[C@@H](C)[C@@H]1O,PRKCQ,CN1CCCCOc2ccnc3[nH]c(=O)n(c23)-c2ccc(C(N)=O)c1n2,6.55,7.14,=,=
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,SIK1,CC1(C)C(=O)N([C@H]2CCc3c(O)cccc32)c2nc(Nc3cccc(CN4CCCC4)c3)ncc21,8.87,6.96,=,=
Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,PBK,NC1CCC(Nc2nccc(-c3c[nH]c4ncccc34)n2)CC1,5.4,6.2,=,=
Cn1nccc1Nc1nccc(-c2cc3n4c(nnc4c2)[C@H](Cc2ccc(F)cc2)CO3)n1,MAPK1,COc1cccc([C@H](NC(=O)CN2Cc3ccc(-c4nc(NC5CCOCC5)ncc4Br)cc3C2=O)[C@H](C)O)c1,8.3,8.8,=,=
CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1,CDK12,C=CC(=O)N1CC=C(c2ccc(C(C)C(=O)Nc3cc(C4CC4)[nH]n3)cc2F)CC1,5.25,7.2,=,=
Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2C1CC(CN2CCCC2)C1,ERBB4,C=CC(=O)N1CC[C@@H](N2N=C(Nc3ccc(Oc4ccccc4)cc3)c3c[nH]c4ncnc2c34)C1,5.7,6.39,=,=
Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(OCCN4CCCC4)cc3)nc12,EPHB4,CC(C)n1nc(-c2ccc3nc(Cl)ccc3c2)c2c(N)ncnc21,7.8,5.5,=,=
COc1cc2c(Nc3ccc(C)c(Cl)c3Cl)ncnc2cc1OCC1CN(C)CCO1,EPHA2,COc1cc2c(Nc3ccc(F)c(Cl)c3F)ncnc2cc1O[C@@H]1CO[C@@H]2[C@H]1OC[C@H]2F,7.3,6.28,=,=
Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,TESK1,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,5.25,6.54,=,=
Cc1ccc2[nH]nc(-c3ccc(C(N)=O)cc3)c2c1,MAPKAPK3,Cc1c(Cl)c(N2CCC(CN)C2)nc2[nH]cc(C(=O)O)c(=O)c12,5.39,5.0,=,=
CN1C(=O)[C@@H](N2CCc3cn(CC4CCS(=O)(=O)CC4)nc3C2=O)COc2ccccc21,PAK6,C[C@@]1(C(=O)Nc2ccc(F)nc2)CCCN1c1nc(Nc2cc(C3CC3)n[nH]2)c2cccn2n1,6.0,4.5,=,=
c1ncc(-c2c[nH]c3nccc(N4CCC[C@H](N5CCCC5)C4)c23)cn1,CDC42BPB,Cn1nccc1-c1c[nH]c2nccc(N3CCCCC3)c12,8.42,6.09,=,=
Nc1ncc(-c2cc([C@H]3[C@@H]4CN(C5COC5)C[C@@H]43)n(CC3CC3)n2)cc1C(F)(F)F,EPHA7,CNC(=O)c1ncc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(CCO)CC4)c(C(F)(F)F)c3)ccc2C)n1C,6.18,8.38,=,=
Cn1c(C(O)c2cc(-c3ncnc4cc(N5CCOCC5)ccc34)c(F)cc2F)cccc1=O,PRKDC,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCCCCCCCOc3ccc4c(=O)cc(N5CCOCC5)oc4c3C)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,8.3,5.43,=,=
CN1CCN([C@H]2CC[C@@H](n3cc(-c4ccc(Oc5ccccc5)cc4)c4c(N)ncnc43)CC2)CC1,CSK,Cc1ccc(NC(=O)c2ccc(C)c(C(F)(F)F)c2)cc1C#Cc1nn([C@H]2CC[C@H](O)CC2)c2ncnc(N)c12,7.39,8.05,=,=
O=c1[nH]cnc2c(Cl)cccc12,NTRK3,CN(Cc1cc(Cl)c(O)c2ncccc12)C1CCCCC1,4.6,6.0,=,=
Cc1nnc(-c2cnc(-c3cccc(-c4cnn(C)c4)c3)nc2NC2CCN(S(C)(=O)=O)CC2)s1,IRAK1,O=C(NC(CO)Cc1ccc(Cl)cc1)c1ccc(-c2ccncc2)cc1,6.26,5.1,=,=
c1cc(-c2cnn3cc(-c4ccc(N5CCNCC5)cc4)cnc23)c2cccnc2c1,BMPR1B,CCCN1C(=O)Cc2cc(-c3cncc(-c4ccc(=O)n(C(C)C)c4)c3)ccc21,7.03,6.0,=,=
NC(=O)c1nc(Nc2ccc3ccccc3c2)sc1NC(=O)C1CC1,TNIK,Cc1cc(NS(C)(=O)=O)ccc1Nc1cc(-c2ccc(-n3cccn3)cc2)[nH]n1,7.82,8.52,=,=
CC(C)COc1ncnc2[nH]cc(/C=C\C#N)c12,TAB1,CC(C)COc1ncnc2[nH]cc(C/C=C/C(N)=O)c12,6.77,6.38,=,=
CCS(=O)(=O)N1CCCCC(=O)N2CCc3cc(ccc32)Nc2ncc(C(F)(F)F)c(n2)NCc2ccccc21,PTK2B,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)NCc2cc(F)ccc2Oc2ccc3c(cnn3CCO)c2)cc1,8.72,4.52,=,=
O=C(Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1)C1CCCN1,NEK9,CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc1-2,5.66,4.71,=,=
Cc1ccc2[nH]nc(-c3ccc4c(c3)OCO4)c2c1,MAPKAPK3,Fc1ccc2c(-c3ccc4c(c3)OCO4)n[nH]c2c1,5.07,4.68,=,=
