smiles,gene_a,gene_b,pic50_a,pic50_b,relation_a,relation_b
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,ABL2,DYRK2,6.06,5.17,=,=
CC(=O)c1cnc2ccc(-c3cc(Cl)c(O)c(Cl)c3)nc2c1N[C@H]1CC[C@H](CN(C)C)CC1,ACVR1,TAOK1,6.65,7.77,=,=
CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,ACVR1,PIM2,8.4,6.62,=,=
CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,ABL2,TGFBR1,6.52,5.53,=,=
CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,AAK1,MAP3K20,6.77,5.1,=,=
CN(C)C1CCC(Nc2nc(Cl)cc(-c3c[nH]c4ncccc34)n2)CC1,ACVR1,HIPK2,5.6,7.2,=,=
CC(C)c1cc(CNc2nc(Nc3cc(C4CC4)[nH]n3)cc(N3CCN(C)CC3)n2)on1,AAK1,FYN,6.86,7.64,=,=
CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12,ABL1,JAK2,6.6,8.4,=,=
COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,ACVR1,PAK2,6.04,5.48,=,=
CCS(=O)(=O)N1CCN(c2ccc(Nc3ncc(C(N)=O)c(NC4CC4)n3)cc2)CC1.Cl,AAK1,MAP3K2,9.0,6.13,=,=
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,ABL1,ERBB4,7.07,8.62,=,=
CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,ABL1,PRKD3,5.81,6.92,=,=
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,ACVR1,RAF1,6.33,6.85,=,=
CC(C)c1cc(CNc2nc(Nc3cc(C4CC4)[nH]n3)cc(N3CCN(C)CC3)n2)on1,ABL2,MAP4K2,8.1,6.45,=,=
CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,AAK1,AXL,5.46,6.04,=,=
CC(C)c1cc(CNc2nc(Nc3cc(C4CC4)[nH]n3)cc(N3CCN(C)CC3)n2)on1,ACVR1,EIF2AK1,8.3,5.48,=,=
CC(C)c1cc(CNc2nc(Nc3cc(C4CC4)[nH]n3)cc(N3CCN(C)CC3)n2)on1,AAK1,ULK3,6.86,6.31,=,=
CC(=O)c1cnc2ccc(-c3cc(Cl)c(O)c(Cl)c3)nc2c1N[C@H]1CC[C@H](CN(C)C)CC1,AAK1,RET,6.76,7.55,=,=
CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,AAK1,PIP5K1C,5.8,7.75,=,=
C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,ACVR1B,AKT3,7.07,5.21,=,=
CC1(C)C(=O)N([C@H]2CCc3c(O)cccc32)c2nc(Nc3ccccc3)ncc21,ABL1,EPHA8,5.94,5.0,=,=
CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,ABL2,PIP4K2B,6.62,5.58,=,=
CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc1-2,ABL2,CSNK1A1,5.43,6.3,=,=
CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,ABL2,TGFBR2,5.92,6.6,=,=
CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1,AAK1,MST1R,7.6,6.09,=,=
COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,AAK1,PRKG1,7.2,7.85,=,=
CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,AAK1,RET,5.8,7.39,=,=
C#CCO[C@@H]1[C@H](C)[C@@H](COS(=O)(=O)C=C)O[C@H]1n1nc(-c2ccc(C)cc2)c2c(N)ncnc21,ABL1,FGFR3,7.46,6.58,=,=
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,ABL2,MAPK3,7.46,5.18,=,=
CNC1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,ABL1,PRKCG,7.0,8.5,=,=
CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,ACVR1,TYK2,8.4,6.01,=,=
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,AAK1,ERN1,7.96,6.22,=,=
CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12,ACVR1,CAMK2B,6.4,5.3,=,=
C#Cc1cn(C2CCCC2)c2ncnc(N)c12,ACVR1,PRKAA1,6.1,5.5,=,=
CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,AAK1,PIK3CA,5.8,6.7,=,=
CC(C)c1cc(CNc2nc(Nc3cc(C4CC4)[nH]n3)cc(N3CCN(C)CC3)n2)on1,AAK1,NTRK1,6.86,8.22,=,=
